file_number;language;text;soft_skills
01;es;Buscamos un Data Scientist altamente motivado con experiencia en análisis de datos y modelado predictivo. Deberás poseer habilidades blandas como comunicación efectiva y capacidad de trabajo en equipo.;['comunicación', 'trabajo en equipo', 'habilidades analíticas', 'proactividad']
02;es;"Como Data Scientist en nuestro equipo, participarás en la identificación de patrones y tendencias a partir de grandes conjuntos de datos. Se valora la capacidad de presentar resultados de manera clara y persuasiva.
";['comunicación']
03;es;"Estamos en busca de un Data Scientist apasionado por convertir datos en conocimiento. Las habilidades blandas, como la adaptabilidad y la resolución de problemas, son esenciales para tener éxito en este rol.
";['resolución de problemas', 'adaptabilidad', 'proactividad']
04;es;"Únete a nuestro equipo como Data Scientist y contribuye al desarrollo de modelos predictivos avanzados. Habilidades blandas, incluyendo la capacidad de colaborar en entornos multidisciplinarios, son fundamentales.

";['comunicación', 'trabajo en equipo']
05;es;"Estamos contratando un Data Scientist con habilidades excepcionales en análisis de datos y visualización. La capacidad de comunicar hallazgos de manera efectiva a partes interesadas no técnicas es esencial.


";['comunicación', 'habilidades analíticas']
06;es;"Buscamos un profesional de Data Science para liderar iniciativas analíticas. Se requiere una sólida ética de trabajo, así como habilidades blandas que faciliten la colaboración con equipos interdisciplinarios.


";['comunicación', 'trabajo en equipo']
07;es;"Únete a nuestro equipo dinámico como Data Scientist. Buscamos a alguien con habilidades analíticas avanzadas y la capacidad de trabajar de manera efectiva en un entorno ágil y colaborativo.


";['trabajo en equipo', 'gestión de proyectos']
08;es;"Estamos contratando un Data Scientist experimentado para aplicar técnicas estadísticas y de machine learning. Habilidades blandas como la resiliencia y la empatía son esenciales para el éxito en este rol.



";['habilidades interpersonales']
09;es;"Como Data Scientist, trabajarás en proyectos desafiantes y colaborarás estrechamente con equipos de ingeniería y negocio. Se espera que tengas habilidades blandas destacadas, incluyendo la capacidad de trabajar bajo presión.




";['adaptabilidad']
10;es;"Buscamos un Data Scientist con una sólida base en modelado estadístico y machine learning. La capacidad de comunicar resultados de manera efectiva y trabajar en equipo son atributos clave para este rol.





";['comunicación', 'trabajo en equipo']
11;en;"Join our innovative team as a Data Scientist and contribute to groundbreaking projects in machine learning and predictive analytics. Strong soft skills, including effective communication, are essential for success in this role.





";['communication', 'problem solving', 'creativity']
12;en;"Seeking a highly skilled Data Scientist with a passion for uncovering insights from data. Excellent teamwork and interpersonal skills are crucial for collaborating with cross-functional teams.






";['interpersonal skills', 'teamwork', 'analytical skills']
13;en;"We are hiring a Data Scientist to drive data-driven decision-making. Strong analytical abilities and soft skills such as adaptability and creativity are key attributes we value.







";['problem solving', 'creativity', 'adaptability']
14;en;"As a Data Scientist, you will play a key role in developing advanced analytics solutions. Effective problem-solving and communication skills, both written and verbal, are prerequisites for this position.







";['communication', 'problem solving']
15;en;"Are you a Data Scientist with expertise in statistical modeling? Join our team and bring your soft skills, including teamwork and a positive attitude, to contribute to our success.







";['teamwork']
16;en;"We're looking for an experienced Data Scientist who can apply machine learning techniques to complex datasets. Strong interpersonal skills and the ability to collaborate with diverse teams are essential.







";['communication', 'interpersonal skills', 'teamwork']
17;en;"Join us as a Data Scientist and apply your expertise in data analysis and modeling. Effective communication and the ability to distill complex concepts for non-technical stakeholders are highly valued.






";['communication', 'analytical skills']
18;en;"Seeking a Data Scientist with a track record of success in predictive modeling. Soft skills like effective time management and the ability to work autonomously in a fast-paced environment are crucial.







";['proactivity', 'time management', 'fast-paced environment']
19;en;"As a Data Scientist, you will be responsible for developing and deploying machine learning models. Excellent communication skills and the ability to collaborate across departments are key to excelling in this role.








";['communication', 'teamwork']
20;en;"We are hiring a skilled Data Scientist to drive data insights for strategic decision-making. Strong problem-solving abilities and soft skills such as empathy and adaptability are critical for this position.








";['interpersonal skills', 'adaptability']
21;es;"Unirse a nuestro equipo como Data Scientist y contribuir a proyectos innovadores en machine learning y análisis predictivo. Se valoran habilidades interpersonales sólidas y comunicación efectiva.







";['comunicación', 'habilidades interpersonales', 'creatividad']
22;es;"We are seeking a passionate Data Scientist para descubrir conocimientos a partir de datos. Excelentes habilidades de trabajo en equipo y personales son cruciales para colaborar con equipos multidisciplinarios.







";['comunicación', 'trabajo en equipo']
23;es;"Estamos contratando un Data Scientist altamente calificado para impulsar la toma de decisiones basada en datos. Se valoran habilidades analíticas sólidas y habilidades blandas como la adaptabilidad y la creatividad.






";['creatividad', 'adaptabilidad']
24;es;"Como Data Scientist, jugarás un papel clave en el desarrollo de soluciones de análisis avanzado. Habilidades efectivas de resolución de problemas y comunicación, tanto escrita como verbal, son requisitos previos para este puesto.





";['comunicación', 'resolución de problemas']
25;es;"Are you a Data Scientist with expertise in statistical modeling? Únete a nuestro equipo y aporta tus habilidades interpersonales, incluido el trabajo en equipo y una actitud positiva, para contribuir a nuestro éxito.





";['habilidades interpersonales', 'trabajo en equipo']
26;es;"We're looking for an experienced Data Scientist que pueda aplicar técnicas de machine learning a conjuntos de datos complejos. Habilidades interpersonales sólidas y la capacidad de colaborar con equipos diversos son esenciales.





";['habilidades interpersonales', 'trabajo en equipo']
