Perfil IT,0
Data Scientist ,Habilidades de comunicación y presentación para explicar resultados técnicos a audiencias no técnicas
Data Scientist ,Trabajo en Equipo y Colaboración
Data Scientist ,Resolución de Problemas
QA Tester,Comunicación efectiva y habilidades de documentación
QA Tester,Atención al detalle y capacidad para encontrar errores y defectos
QA Tester,Capacidad para trabajar en equipo y colaborar con desarrolladores y otros miembros del equipo de QA
Especialista en IA,Habilidades de comunicación y presentación para explicar resultados técnicos a audiencias no técnicas
Especialista en IA,Trabajo en equipo y colaboración
Frontend,Trabajo en equipo y colaboración
Frontend,Habilidades de resolución de problemas
Frontend,Habilidades de comunicación
UX/UI Design,Pensamiento critico
UX/UI Design,Creatividad
UX/UI Design,Trabajo en equipo
UX/UI Design,Habilidades de comunicación
Graphic Design,Capacidad de comunicación visual efectiva
Graphic Design,Atención al detalle
Cybersecurity Analyst,Pensamiento analítico
Cybersecurity Analyst,Habilidades de resolución de problemas
Cybersecurity Analyst,Capacidad de comunicación efectiva
Cybersecurity Analyst,Trabajo en equipo
Cybersecurity Analyst,Atención al detalle y capacidad de adaptación a los cambios
Community Manager,Capacidad para comprender las tendencias en redes sociales y adaptarse a los cambios
Community Manager,Habilidad para crear contenido atractivo y relevante
Community Manager,"Capacidad de gestionar comunidad, fomentando la participación, respondiendo a preguntas o comentarios"
Community Manager,Comunicación y redacción efectiva y persuasiva
Community Manager,Capacidad de adaptación
Community Manager,Creatividad
Community Manager,Trabajo en equipo
Digital marketer,Capacidad de planificación y ejecución de campañas
Digital marketer,Marketing de contenidos: Habilidad para crear contenido relevante y atractivo
Digital marketer,Comunicación y redacción efectiva y persuasiva
Digital marketer,Capacidad de adaptación e innovación
Digital marketer,Creatividad
Growth Marketer,Creatividad y Pensamiento Analítico
Growth Marketer,Comunicación y Presentación de Resultados a Audiencias Técnicas y No Técnicas
Growth Marketer, Trabajo en Equipo y Colaboración
Growth Marketer,Orientación a Resultados y Resolución de Problemas
Delivery Manager,Liderazgo y Motivación de Equipos
Delivery Manager,Comunicación y Negociación con Stakeholders
Delivery Manager,Adaptabilidad y Flexibilidad ante Cambios
Delivery Manager,Resolución de Conflictos y Toma de Decisiones
Scrum Master,Excelentes habilidades de comunicación y facilitación
Scrum Master,Capacidad de liderazgo
Scrum Master,Habilidades de resolución de conflictos
Scrum Master,Enfoque en la colaboración y el trabajo en equipo
Scrum Master,Capacidad para motivar y guiar al equipo
Scrum Master,Habilidades de escucha activa y empatía
RRPP,Excelentes habilidades de comunicación verbal y escrita
RRPP,Habilidades de negociación
RRPP,Capacidad de establecer y mantener relaciones sólidas
RRPP,Habilidades de organización y planificación de eventos
RRPP,Creatividad
RRPP,Adaptabilidad
RRPP,Habilidades de gestión de crisis y resolución de problemas
